customer_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
10,11.208494224960466,-6.615383089065836,0.2039905839359562,0.12191803330078145,0.06627811829706069,-0.32810391783409426,-1.5960635646604688,0.08417528699682311
100,-0.956522622308602,-0.49765983932243396,-0.2513293694706484,-0.17156151513685614,-0.2286625085614566,0.9682234689635579,0.3375121240770905,-0.3578004800466926
101,-0.9479344431934311,-0.5037433792773347,-0.2662976778117406,-0.19268759488603285,-0.2360334317751469,1.0364751547575046,0.36572407131621293,-0.3957045013933396
102,-0.911730925591929,-0.5293885763421738,-0.3293966662264302,-0.2817447034760235,-0.26710560024387014,1.324190521989246,0.4846516943603093,-0.5554891176185623
103,-0.9097912040782682,-0.5307626014028402,-0.3327774002939156,-0.28651622848024744,-0.2687703929946269,1.3396058110164941,0.49102362958291335,-0.5640500994837951
104,-0.14213716289632441,1.0643562047886663,-0.7328013032302887,-1.5755184423012074,0.2043842270679332,1.8207331871730872,0.3649379081987477,0.11081759970552461
105,-0.9217921341238482,-0.522261598285743,-0.31186101989556075,-0.25699511558690374,-0.2584704292103853,1.2442324267726594,0.45160088341915133,-0.5110838650204572
106,-0.3647974360090652,0.552381867345898,-0.7552468086211358,-0.34935165900912857,-0.5582200105872089,2.659372963560854,1.0343946377123066,-0.40632007711243967
107,-0.9062461497897204,-0.5332737832398113,-0.33895606342672796,-0.2952367149315284,-0.27181298474764365,1.3677789462270813,0.5026690416320942,-0.5796962349015782
108,0.9922345448170784,1.768798918717778,-2.3568819061987596,-2.6539746553113974,1.4060918614389701,4.224295103707005,4.393832772920546,1.2578776910509835
11,-1.0716537500651806,-0.4161053204462869,-0.050667716190275505,0.11164978658152372,-0.12984962974058534,0.053257275156079954,-0.04069066586142036,0.15033199665492897
110,-0.93248800488055,-0.5146850496101447,-0.29321922291906655,-0.23068432076500592,-0.2492905505662688,1.1592305654480022,0.4164652234127707,-0.46387752383378583
112,-0.9188950899464069,-0.5243137543677516,-0.3169102683968066,-0.26412156061194964,-0.26095685734517665,1.2672557180056778,0.4611175989402567,-0.5238700008091176
113,-0.8646711697652291,-0.562723920307448,-0.4114169555362141,-0.3975070951587304,-0.30749528494908046,1.698182217452375,0.639241780415173,-0.7631878585859306
