customer_id,frequency,recency,T,monetary_value,p_alive,exp_purchases_90d,exp_avg_profit,clv_12m
10,12.0,378.0,1213.0,65.66666666666667,2.4839953385906128e-05,2.1466161768574685e-05,66.54825228089429,0.005082979500692995
100,0.0,0.0,827.0,0.0,1.0,0.011387113451226123,,
101,0.0,0.0,827.0,0.0,1.0,0.011387113451226123,,
102,0.0,0.0,820.0,0.0,1.0,0.011479716307779027,,
103,0.0,0.0,826.0,0.0,1.0,0.011400250814473547,,
104,2.0,537.0,826.0,60.910000000000004,0.5881262577734665,0.12814256116405992,66.18186541540554,29.76745788482394
105,1.0,356.0,1182.0,105.0,0.32296159821141723,0.02630586038253333,120.80605026036913,11.383856218569136
106,1.0,141.0,824.0,129.0,0.2179306292957328,0.02507335499096246,147.36461779517666,13.016121451635685
107,0.0,0.0,822.0,0.0,1.0,0.011453104946429895,,
108,2.0,60.0,804.0,89.1,0.026315157584051996,0.005882193173366817,95.79844892682658,1.974928775583509
11,0.0,0.0,1212.0,0.0,1.0,0.007887990860768782,,
110,0.0,0.0,820.0,0.0,1.0,0.011479716307779027,,
112,0.0,0.0,817.0,0.0,1.0,0.011519866138353435,,
113,4.0,378.0,1195.0,241.495,0.06669999094687944,0.019866117425232775,248.52246027863754,17.600529610937404
114,4.0,182.0,804.0,94.05,0.021820827864251074,0.00948761192076393,97.43872930606723,3.2288833610435894
117,1.0,134.0,817.0,77.95,0.21133510000961567,0.02451227099203645,90.87233143467982,7.8432441359436345
118,0.0,0.0,817.0,0.0,1.0,0.011519866138353435,,
119,0.0,0.0,811.0,0.0,1.0,0.011601014671067032,,
121,0.0,0.0,809.0,0.0,1.0,0.011628318958359977,,
123,0.0,0.0,801.0,0.0,1.0,0.011738834226186887,,
125,1.0,29.0,773.0,99.0,0.0772679949079513,0.009444983507423376,114.16640837666725,3.7855099314228164
126,2.0,474.0,786.0,59.27,0.5514005526078055,0.12592368938453694,64.4588715537975,28.410879609667326
127,1.0,29.0,773.0,99.0,0.0772679949079513,0.009444983507423376,114.16640837666725,3.7855099314228164
129,24.0,707.0,799.0,94.61416666666666,0.7017791075154827,1.7969998962198086,95.16984751676466,594.3568896852446
13,8.0,302.0,1174.0,77.5,0.0003524286059854704,0.0002105371152107723,78.97198627584497,0.05911448055314679
130,14.0,455.0,773.0,99.0,0.017719923271631497,0.027405683845764556,99.98573482842507,9.51103999085551
131,0.0,0.0,753.0,0.0,1.0,0.012448733034251943,,
133,0.0,0.0,748.0,0.0,1.0,0.012527652639328356,,
1330,0.0,0.0,651.0,0.0,1.0,0.01428462600914172,,
136,0.0,0.0,730.0,0.0,1.0,0.012820246836321289,,
137,0.0,0.0,722.0,0.0,1.0,0.012954724444370047,,
138,0.0,0.0,718.0,0.0,1.0,0.013023027405090249,,
14,9.0,279.0,1174.0,77.66666666666667,5.5232505332028496e-05,3.706020658046346e-05,78.9751325902934,0.01040363115859115
140,6.0,519.0,1049.0,99.0,0.1376763178633829,0.06904919720264997,101.32149507872761,24.75695226892488
142,0.0,0.0,683.0,0.0,1.0,0.013652908141899098,,
143,3.0,727.0,828.0,163.84666666666666,0.7765665449553307,0.2486131802573141,170.71814051791225,148.68886072812177
144,1.0,365.0,676.0,110.21,0.4725463299743879,0.06554875444364804,126.57147262938359,28.90309774851812
145,0.0,0.0,681.0,0.0,1.0,0.013690747979910723,,
146,0.0,0.0,680.0,0.0,1.0,0.013709746715975038,,
15,3.0,96.0,1174.0,59.0,0.0039324236978862965,0.0009018629339576985,62.39290482473858,0.20063508994039728
1548,2.0,467.0,645.0,83.945,0.6411457486239157,0.17634520107691337,90.3825749289062,55.11839991373132
1576,2.0,62.0,622.0,99.0,0.04579863484737479,0.013031317494208631,106.19944845726533,4.7744460227611585
1582,0.0,0.0,641.0,0.0,1.0,0.014494211235407412,,
16,1.0,37.0,1174.0,59.0,0.05871150948493326,0.004813578880585196,69.90212915198805,1.2049994039097731
1613,3.0,620.0,1180.0,99.0,0.4233592254022119,0.09661813896422108,103.7200119754375,35.73966068196528
1621,2.0,50.0,600.0,104.935,0.03614078829188723,0.010634234929612933,112.43479514546272,4.114997690511185
1623,0.0,0.0,596.0,0.0,1.0,0.01551890011158342,,
1626,1.0,96.0,566.0,101.4,0.22616872285882714,0.037035375200560015,116.82226513014801,14.904178390620222
1628,0.0,0.0,562.0,0.0,1.0,0.016394713560128643,,
1632,4.0,542.0,721.0,107.4575,0.688940717466554,0.33195932165120884,111.17710716231693,128.04720228211687
1639,2.0,542.0,1054.0,120.68,0.4683475402349253,0.08087664907989997,128.97658682291305,37.07155328697313
17,13.0,398.0,1174.0,62.70769230769231,2.5157095586656805e-05,2.4285533181779427e-05,63.49886609609738,0.0054780368414502015
1704,1.0,566.0,1047.0,190.99,0.4702129949140976,0.04303922071145798,215.96318452362326,33.12507384406108
1705,0.0,0.0,480.0,0.0,1.0,0.018978324513888617,,
1757,4.0,105.0,471.0,124.35499999999999,0.026118339389679182,0.0186730168445087,128.49161320937858,8.073220284705114
1759,0.0,0.0,475.0,0.0,1.0,0.019162489987302467,,
1779,0.0,0.0,472.0,0.0,1.0,0.019274717118963825,,
1788,1.0,188.0,471.0,104.44,0.401237968255805,0.07784145368877089,120.18635035122361,31.8147894244678
1796,1.0,375.0,470.0,147.47,0.5758176806893534,0.11192819174458339,167.80364872717226,63.861001454901384
1797,10.0,1042.0,1096.0,124.133,0.9122552952368236,0.7255762169932254,125.76134273034853,323.21415038034735
1808,0.0,0.0,469.0,0.0,1.0,0.019388268196543715,,
1810,0.0,0.0,469.0,0.0,1.0,0.019388268196543715,,
1811,4.0,90.0,469.0,148.5,0.01609223499085164,0.011549687847354459,153.23247715412214,5.952909314911541
1814,2.0,62.0,468.0,198.0,0.07861643977376243,0.029090333316181292,210.20944376165286,20.668328001684802
1816,0.0,0.0,302.0,0.0,1.0,0.02885771105746164,,
1817,1.0,379.0,468.0,124.31,0.5796236672689418,0.11310888579099312,142.174631056083,54.66089592310669
1818,1.0,358.0,826.0,365.9,0.4143983963538187,0.04756772610430969,409.5198115033392,68.63071886896493
1831,0.0,0.0,467.0,0.0,1.0,0.01946471606950963,,
1832,0.0,0.0,467.0,0.0,1.0,0.01946471606950963,,
1849,2.0,47.0,334.0,99.0,0.09996662295376921,0.05010086594503894,106.19944845726533,17.47871673211631
1857,0.0,0.0,464.0,0.0,1.0,0.019580526436355678,,
187,0.0,0.0,676.0,0.0,1.0,0.01378627224658793,,
1870,2.0,59.0,438.0,99.0,0.08287319818487396,0.03257289464907296,106.19944845726533,11.630719272985312
19,3.0,96.0,1174.0,59.0,0.0039324236978862965,0.0009018629339576985,62.39290482473858,0.20063508994039728
1974,2.0,59.0,438.0,99.0,0.08287319818487396,0.03257289464907296,106.19944845726533,11.630719272985312
1979,0.0,0.0,455.0,0.0,1.0,0.019936387490679434,,
1980,0.0,0.0,453.0,0.0,1.0,0.020017233807551667,,
1983,1.0,39.0,453.0,168.85,0.15248183399503074,0.030655325282314287,191.4629059727633,19.90180408162789
1984,0.0,0.0,453.0,0.0,1.0,0.020017233807551667,,
1987,0.0,0.0,452.0,0.0,1.0,0.020057903682218173,,
2,11.0,1153.0,1240.0,127.88818181818182,0.8950994427233907,0.6948101205804471,129.40036354006182,320.2769474972433
20,14.0,430.0,1174.0,71.16428571428571,2.678258893087689e-05,2.7825648862750722e-05,71.95715023692763,0.007111874345886155
2005,0.0,0.0,451.0,0.0,1.0,0.020098739377301302,,
2010,5.0,151.0,438.0,99.0,0.05596280852672471,0.05310537977360423,101.7949156596868,18.056540298016227
21,11.0,310.0,1174.0,64.61636363636363,1.2728686444973479e-05,1.0414261233561218e-05,65.56952178197845,0.0024263717571260763
2100,2.0,59.0,438.0,99.0,0.08287319818487396,0.03257289464907296,106.19944845726533,11.630719272985312
22,3.0,96.0,1174.0,35.0,0.0039324236978862965,0.0009018629339576985,37.59664053431922,0.12089844792847448
2230,1.0,18.0,397.0,99.0,0.11576478927417189,0.026236002218977657,114.16640837666725,10.052629542136435
2232,1.0,16.0,395.0,184.75,0.11075716040154018,0.025215766435094437,209.0579569645733,17.685047241169258
2246,0.0,0.0,373.0,0.0,1.0,0.023894069500876115,,
2250,0.0,0.0,369.0,0.0,1.0,0.024127791915765903,,
2256,2.0,135.0,422.0,107.485,0.27914451780826877,0.11348160923220128,115.11384047906057,43.7894176153704
2257,1.0,763.0,1129.0,75.98,0.5296861523068682,0.04509342030939343,88.69231568286438,14.299654306697612
2258,0.0,0.0,366.0,0.0,1.0,0.02430611229881365,,
24,11.0,340.0,1174.0,66.27272727272727,3.316497750090605e-05,2.7134672614707107e-05,67.24051983774403,0.006483096811408619
25,1.0,30.0,1203.0,75.0,0.05029464411551575,0.004027609212887762,87.60784084185973,1.264871718507957
2544,0.0,0.0,336.0,0.0,1.0,0.026246202555558314,,
26,0.0,0.0,1202.0,0.0,1.0,0.007951449225733606,,
