component,variance_ratio
PC1,0.14934161900952053
PC2,0.1179123260566976
PC3,0.048913231400767546
PC4,0.04569043375718964
PC5,0.04224125076955195
PC6,0.038627890824686796
PC7,0.03218326897645665
PC8,0.03088012892202646
