customer_id,frequency,recency_days,T_days,monetary_mean,segment,segment_prob_max
g-148,2,361,1183,87.65666666666668,1,0.5780765278778274
g-149,0,0,821,154.99,2,0.9999999999002114
g-151,0,0,822,47.99,2,0.9999999368519747
g-152,4,721,1174,54.322,4,0.7701808283288312
g-153,1,366,822,88.475,1,0.8160342745879795
g-154,0,0,811,74.99,2,0.999999996055033
g-155,0,0,823,41.97,2,0.9999998552206912
g-156,0,0,812,115.0,2,0.999999999604773
g-157,1,297,1122,41.495000000000005,1,0.9953022363079886
g-159,2,0,824,74.99,0,0.9801846219425108
g-160,0,0,812,41.97,2,0.9999998785776401
g-161,0,0,824,79.95,2,0.9999999966222095
g-162,0,0,812,50.0,2,0.9999999579073853
g-163,0,0,812,15.99,2,0.9999370076376439
g-164,0,0,813,100.0,2,0.9999999991598134
g-165,0,0,813,50.0,2,0.9999999572116609
g-167,0,0,825,47.99,2,0.9999999338833825
g-168,0,0,825,105.0,2,0.9999999992219006
g-169,0,0,825,105.0,2,0.9999999992219006
g-170,0,0,826,45.99,2,0.9999999131998722
g-171,0,0,826,105.0,2,0.9999999992104414
g-172,0,0,826,45.99,2,0.9999999131998722
g-173,0,0,826,97.98,2,0.9999999988570334
g-174,1,246,826,184.41,1,0.9671124891569159
g-176,0,0,826,52.96,2,0.9999999627623175
g-177,0,0,827,105.0,2,0.9999999991988897
g-179,0,0,829,74.99,2,0.9999999947958624
g-180,0,0,833,58.96,2,0.9999999780808333
g-1803,0,0,643,61.96,2,0.9999999998760298
g-1804,1,360,643,109.795,1,0.8500293593733194
g-1815,0,0,641,24.62,2,0.9999999694708168
g-182,5,559,849,91.46499999999999,4,0.9980667557676505
g-183,1,262,1097,47.96,1,0.9862396841397979
g-184,0,0,814,100.0,2,0.9999999991463948
g-1847,0,0,637,115.0,2,0.999999999995147
g-1848,2,309,633,120.69000000000001,1,0.5085196479452562
g-1849,0,0,633,115.0,2,0.9999999999956621
g-185,0,0,815,74.99,2,0.9999999957927894
g-1850,0,0,633,47.57,2,0.9999999996228581
g-1854,0,0,625,45.99,2,0.9999999996744098
g-1855,0,0,625,36.52,2,0.9999999986978381
g-1856,0,0,625,115.0,2,0.9999999999964828
g-1857,0,0,624,97.75,2,0.9999999999940883
g-1858,0,0,623,31.98,2,0.9999999973028597
g-1859,1,532,622,106.72,1,0.9313731765614044
g-186,0,0,815,83.98,2,0.9999999977605025
g-1863,0,0,614,75.96,2,0.9999999999878586
g-1864,0,0,364,69.98,2,0.99999999999973
g-1865,0,0,614,73.57,2,0.9999999999857518
g-1868,0,0,610,103.47,2,0.9999999999967795
g-187,2,364,1180,91.66333333333334,1,0.5552419269826354
g-1871,0,0,600,10.99,2,0.999999030882049
g-1872,0,0,599,78.58,2,0.9999999999945377
g-1876,2,486,579,91.27,1,0.9026895194619526
g-1877,1,0,578,71.28999999999999,3,0.9891533490386002
g-1879,0,0,573,15.99,2,0.9999999817572347
g-188,0,0,816,149.98,2,0.9999999998910791
g-1884,0,0,559,100.06,2,0.9999999999984421
g-1887,0,0,549,98.62,2,0.9999999999985292
g-1888,0,0,548,29.97,2,0.9999999999285194
g-1889,1,43,546,106.43,1,0.9983432537365182
g-189,0,0,840,63.97,2,0.9999999849620843
g-1890,0,0,542,183.0,2,0.9999999999989448
g-1895,0,0,522,94.65,2,0.9999999999987015
g-190,1,718,840,71.75999999999999,1,0.9732466570885127
g-1902,0,0,497,163.45,2,0.9999999999984421
g-1904,0,0,495,199.9,2,0.9999999999989786
g-1907,0,0,489,129.14,2,0.9999999999981632
g-191,0,0,817,49.99,2,0.9999999543037436
g-192,1,375,1216,47.49,1,0.9897979489202361
g-194,5,358,817,70.27333333333333,4,0.9859265303224076
g-1941,1,14,483,89.515,1,0.999991277758861
g-196,2,384,851,61.31,1,0.8666349529636842
g-1968,0,0,481,72.44,2,0.9999999999994778
g-197,2,361,1213,80.32666666666667,1,0.6449460433191284
g-198,0,0,817,74.99,2,0.9999999956578449
g-1999,0,0,479,92.45,2,0.99999999999884
g-200,0,0,817,36.97,2,0.9999997115596714
g-201,2,0,855,49.99,0,0.9910242931719876
g-202,0,0,818,49.99,2,0.9999999535720268
g-2026,0,0,475,96.67,2,0.9999999999987175
g-2029,1,347,474,62.349999999999994,1,0.9995299887071143
g-203,1,0,859,80.0,0,0.866360786100217
g-2031,0,0,474,146.96,2,0.999999999998165
g-2034,0,0,474,300.42,2,0.9999999999997851
g-204,2,0,819,49.99,0,0.9910002459846446
g-205,2,573,1040,70.79333333333334,1,0.6651500285222899
g-206,0,0,859,49.99,2,0.9999999180192931
g-2065,0,0,470,87.94,2,0.9999999999990035
g-207,0,0,865,39.96,2,0.999999654967703
g-2070,0,0,470,80.46,2,0.9999999999992504
g-2072,0,0,470,79.94,2,0.9999999999992681
g-208,1,326,866,80.15,1,0.8474244628102755
g-2085,0,0,468,76.96,2,0.9999999999993676
g-2089,0,0,468,220.99,2,0.9999999999991473
g-209,1,57,932,47.5,1,0.9989427239127688
g-2095,1,0,468,78.71000000000001,3,0.9999805682770541
g-210,0,0,880,75.0,2,0.9999999903225376
g-2100,0,0,467,97.59,2,0.9999999999987033
g-211,1,415,882,73.46000000000001,1,0.8955879478942114
g-2110,0,0,467,95.98,2,0.999999999998753
g-2111,1,369,467,145.28,1,0.971097263338943
g-2113,1,184,466,101.935,1,0.9685866699086921
g-2115,0,0,466,82.49,2,0.9999999999991935
g-212,0,0,892,58.94,2,0.9999999563806209
g-213,0,0,979,71.76,2,0.9999999766456702
g-2136,0,0,464,78.62,2,0.9999999999993232
g-214,0,0,980,35.0,2,0.9999981754729284
