,Product ID,Current Price,Regular Price,Sale Price,Downloadable,Virtual,Cogs,Managing Stock,In Stock,Stock Quantity,Backorders Allowed,Weight,Barcode,Brand,Tax Class,Shipping Class,Reviews Allowed,Average Rating,Rating Count,Low Stock Amount,Sold Individually,Tags,Gross Items Sold,Items Sold,Gross Sales,Total Tax,Total Discounted,Total Refunds,Items Refunded,Refund Rate,Net Sales,Net Orders,Gross Items Sold Free,Daily Gross Items Sold,Days Of Stock Left,Sales Cost,Sales Profit,Sales Margin,Inventory Cost,Inventory Sale Value
Items Sold,-0.5295315939514049,0.01561614468212401,-0.09072776862735173,,,,-0.5506381611589535,,,0.4377557164878573,,-0.07229136390385875,,,,,,0.7281446621202364,0.8558804839284919,,,,0.9998661844885804,1.0,0.5734185832716224,,0.4016770758768984,-0.40650022961965365,-0.42592105105144057,-0.08341270896617177,0.5738175768883611,0.9122038377553687,0.36920000546944187,0.9987536665867519,-0.2690915741044006,0.7670254180629458,0.4954701472257792,0.012203689610378939,0.5475122430992636,0.1635375127553834
Gross Sales,-0.3834018308552784,0.5682135627479289,0.23256924433097567,,,,0.3170573235347449,,,0.3626367443105334,,0.28568545664178124,,,,,,0.31119211301407285,0.1354380101471432,,,,0.5726664861859219,0.5734185832716224,1.0,,0.8713494936662433,-0.756962077268949,-0.20687866687620993,-0.08948616220738122,0.9999483438778713,0.7640587427395061,0.8123148197600804,0.5724039393104257,-0.1623190185310804,0.42292987549541516,0.9921200263462607,0.1251525894623687,0.06856707501176681,-0.02661715963797032
Total Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Discounted,-0.18106690739869444,0.38778082763246635,-0.04942188277190673,,,,-0.36759477631018334,,,0.2852822403370736,,0.0950774342736315,,,,,,0.09889196843041671,0.5807021362684537,,,,0.4016707708343313,0.4016770758768984,0.8713494936662433,,1.0,-0.7168213017492476,-0.17370679357667898,-0.05053203730429481,0.870414108488315,0.6051065677157971,0.9858197690033227,0.39253395084405307,-0.21334012194473595,0.1056069853706856,0.9005798656326626,0.08690400507726088,0.01854311433368018,-0.02992749669966569
Total Refunds,0.36882715133290933,-0.4147802305401014,-0.1286277580881319,,,,-0.15451003114892103,,,-0.3974644820789919,,-0.158942344031045,,,,,,-0.2983869797265884,0.26927339712862236,,,,-0.414291667617355,-0.40650022961965365,-0.756962077268949,,-0.7168213017492476,1.0,0.6070662999874694,-0.23322465164974263,-0.7502811340734119,-0.5511172497349752,-0.6721631990822476,-0.41560805787914046,0.3278335893086848,-0.16648205395161342,-0.7656557213340651,-0.13325688749985745,-0.08095043145562845,0.05977887438548281
Items Refunded,0.37484632607387935,0.09950243808438541,0.15500423104612884,,,,0.3830686887671222,,,-0.3766359699850888,,0.10478066367653113,,,,,,-0.3787346428245397,-0.30769230769230776,,,,-0.44066492637041793,-0.42592105105144057,-0.20687866687620993,,-0.17370679357667898,0.6070662999874694,1.0,-0.5377970980090552,-0.19986125570410754,-0.3666577497909327,-0.15835635722298366,-0.4484304749097103,0.2938029953631286,-0.3125971846078706,-0.1661720322156707,-0.07103031908442689,-0.33505172919082676,-0.055002224943193574
Refund Rate,-0.10100456064253424,-0.14409181486218686,-0.1394695462482915,,,,0.18311708859117629,,,-0.32437932842196926,,-0.1107866316639861,,,,,,-0.06301759515134413,-0.17432618060519758,,,,-0.07303532479582027,-0.08341270896617177,-0.08948616220738122,,-0.05053203730429481,-0.23322465164974263,-0.5377970980090552,1.0,-0.09416281460578704,-0.13826906558305435,-0.03567657557756348,-0.06789674673583386,-0.271385707857412,-0.07920151877300272,-0.08787937875613537,0.14930273954607787,-0.059126878516830114,-0.08354931706475742
Net Sales,-0.382159352131824,0.5684227509253522,0.2332947925157823,,,,0.3137030177130037,,,0.361281236582527,,0.2865621305457101,,,,,,0.3101988145131124,0.14164677247055615,,,,0.5729354726067245,0.5738175768883611,0.9999483438778713,,0.870414108488315,-0.7502811340734119,-0.19986125570410754,-0.09416281460578704,1.0,0.7643152981067228,0.8113820344589626,0.572649372446479,-0.1595221039358217,0.4252981083825767,0.991840773954116,0.12454695324471574,0.06809895687212765,-0.02599935472194831
Net Orders,-0.6509791305437042,0.19382474111904002,-0.01919618372826619,,,,-0.5611136082096548,,,0.5200309329785217,,0.05231284935813856,,,,,,0.6573714348680949,0.671282936736331,,,,0.9121162754286977,0.9122038377553687,0.7640587427395061,,0.6051065677157971,-0.5511172497349752,-0.3666577497909327,-0.13826906558305435,0.7643152981067228,1.0,0.5563732815299399,0.9145840950108718,-0.2797003512578188,0.722442912580595,0.6993775921736153,-0.6918877716630801,0.44462539837394943,0.07736766123506345
Gross Items Sold Free,-0.12019647052114582,0.30704730224362514,-0.13992020796820526,,,,-0.3387278599880955,,,0.18201817511183746,,0.07055928893176576,,,,,,0.01593855960243333,0.8808929232684737,,,,0.36917060373771216,0.36920000546944187,0.8123148197600804,,0.9858197690033227,-0.6721631990822476,-0.15835635722298366,-0.03567657557756348,0.8113820344589626,0.5563732815299399,1.0,0.3569873636190815,-0.23289893747055523,0.041893563628335906,0.8474675307807855,0.07416203465802111,0.02164414183657507,-0.021226586655704392
Daily Gross Items Sold,-0.5479712226854941,0.02275867682667715,-0.07785413244231228,,,,-0.5549923406811282,,,0.4368912203577805,,-0.06502002354122849,,,,,,0.7355243601683078,0.8536988238541946,,,,0.999036606652278,0.9987536665867519,0.5724039393104257,,0.39253395084405307,-0.41560805787914046,-0.4484304749097103,-0.06789674673583386,0.572649372446479,0.9145840950108718,0.3569873636190815,1.0,-0.2706837889871554,0.7737866132098441,0.49328913196370133,0.014432871942878355,0.5471173267889369,0.16030354740165806
Days Of Stock Left,0.5936622430585339,0.8793951446084829,0.8793951446084829,,,,-0.6479255368797536,,,0.20934352681769924,,0.8397298586903325,,,,,,-0.20462929698178858,-0.8804475695797449,,,,-0.2704630114699586,-0.2690915741044006,-0.1623190185310804,,-0.21334012194473595,0.3278335893086848,0.2938029953631286,-0.271385707857412,-0.1595221039358217,-0.2797003512578188,-0.23289893747055523,-0.2706837889871554,1.0,-0.3061891924181621,-0.10290968418462004,0.3134400560357988,0.8590695944300002,0.8916772546492941
Sales Cost,-0.4941805481265657,0.02214439953710715,0.051835404573182704,,,,-0.03850439780982516,,,0.353552916744872,,0.10529774292075271,,,,,,0.5861458540873573,0.7095756170720097,,,,0.7666679262343754,0.7670254180629458,0.42292987549541516,,0.1056069853706856,-0.16648205395161342,-0.3125971846078706,-0.07920151877300272,0.4252981083825767,0.722442912580595,0.041893563628335906,0.7737866132098441,-0.3061891924181621,1.0,0.3064492204772196,-0.0661529454010645,0.3348399308710956,0.06019271184235001
Sales Profit,-0.33232624585881704,0.5947176657024243,0.23806570368272376,,,,0.4188475879439758,,,0.3603979810041804,,0.2865589296050616,,,,,,0.24368804216282933,-0.02442740948333285,,,,0.4945927519341892,0.4954701472257792,0.9921200263462607,,0.9005798656326626,-0.7656557213340651,-0.1661720322156707,-0.08787937875613537,0.991840773954116,0.6993775921736153,0.8474675307807855,0.49328913196370133,-0.10290968418462004,0.3064492204772196,1.0,0.14030995725961598,0.024267410364164462,-0.03582328914487637
Sales Margin,0.17050633868623935,0.05481686687222161,0.020337323271786847,,,,0.6664074295143825,,,-0.26154233644305386,,0.003478778119003237,,,,,,-0.03869031240676041,-0.3922533289260753,,,,0.013392367891467635,0.012203689610378939,0.1251525894623687,,0.08690400507726088,-0.13325688749985745,-0.07103031908442689,0.14930273954607787,0.12454695324471574,-0.6918877716630801,0.07416203465802111,0.014432871942878355,0.3134400560357988,-0.0661529454010645,0.14030995725961598,1.0,-0.04109969209713452,0.104785910376546
Inventory Cost,-0.35129815727613334,-0.21505784292757418,-0.20193849373603423,,,,-0.5047577655197202,,,0.8726895266848081,,-0.17270024655548186,,,,,,0.5762636517059421,0.20030084280546173,,,,0.5495591285342217,0.5475122430992636,0.06856707501176681,,0.01854311433368018,-0.08095043145562845,-0.33505172919082676,-0.059126878516830114,0.06809895687212765,0.44462539837394943,0.02164414183657507,0.5471173267889369,0.8590695944300002,0.3348399308710956,0.024267410364164462,-0.04109969209713452,1.0,0.9992407542799232
Inventory Sale Value,0.14135351992171916,-0.005680461166340991,0.01630950264364063,,,,-0.5088790727128341,,,0.4670708824839511,,0.1488096006622367,,,,,,0.1724830395308339,0.21626925670557137,,,,0.16325071030420293,0.1635375127553834,-0.02661715963797032,,-0.02992749669966569,0.05977887438548281,-0.055002224943193574,-0.08354931706475742,-0.02599935472194831,0.07736766123506345,-0.021226586655704392,0.16030354740165806,0.8916772546492941,0.06019271184235001,-0.03582328914487637,0.104785910376546,0.9992407542799232,1.0
