c1,c2,dist,count
247.0,330.0,0.0,2.0
152.0,290.0,0.0,2.0
375.0,390.0,0.0,3.0
165.0,386.0,0.0,2.0
149.0,240.0,0.0,2.0
323.0,393.0,0.0,3.0
164.0,253.0,0.0,2.0
174.0,262.0,0.0,2.0
93.0,183.0,0.0,2.0
317.0,397.0,0.0,3.0
197.0,238.0,0.0,2.0
329.0,399.0,0.0,3.0
369.0,400.0,0.0,4.0
153.0,376.0,0.0,2.0
162.0,251.0,0.0,2.0
383.0,403.0,0.0,3.0
90.0,316.0,0.0,2.0
287.0,371.0,0.0,2.0
256.0,339.0,0.0,2.0
222.0,308.0,0.0,2.0
140.0,231.0,0.0,2.0
150.0,190.0,0.0,2.0
373.0,410.0,0.0,3.0
132.0,224.0,0.00020588418762890548,2.0
221.0,307.0,0.0003566249303069698,2.0
179.0,267.0,0.0007657061411766844,2.0
119.0,260.0,0.0011271654413180748,2.0
160.0,381.0,0.0014472098949453141,2.0
146.0,285.0,0.001631784627314737,2.0
123.0,346.0,0.0024208239629209065,2.0
151.0,241.0,0.0026778129145533383,2.0
83.0,408.0,0.002925750406556535,3.0
81.0,415.0,0.0030458951038426175,3.0
177.0,265.0,0.0030528464903188256,2.0
295.0,401.0,0.0031310548952872418,5.0
141.0,363.0,0.003171641502810226,2.0
189.0,277.0,0.003276076866097231,2.0
249.0,416.0,0.003433914601728853,3.0
199.0,288.0,0.0036990430964356966,2.0
109.0,200.0,0.003961879465755097,2.0
354.0,398.0,0.004169889725938462,4.0
100.0,324.0,0.004449459687379333,2.0
158.0,305.0,0.004589004087533711,2.0
178.0,227.0,0.004891380080209117,2.0
374.0,419.0,0.005094714573136338,3.0
257.0,340.0,0.005199745462066548,2.0
127.0,219.0,0.006632959114980322,2.0
217.0,431.0,0.007437613574084614,3.0
406.0,407.0,0.007756801620258924,4.0
134.0,274.0,0.008282455942910338,2.0
234.0,365.0,0.009172271990978968,2.0
111.0,404.0,0.009736065139222629,4.0
193.0,291.0,0.0112512036094425,2.0
203.0,335.0,0.01152078038457457,2.0
187.0,226.0,0.011636082285395252,2.0
299.0,440.0,0.012224335359826451,5.0
92.0,409.0,0.01252216013477287,3.0
113.0,395.0,0.013015432896471788,3.0
86.0,412.0,0.013433926073117872,3.0
331.0,436.0,0.013647701026648404,4.0
148.0,437.0,0.013767015183068849,5.0
95.0,439.0,0.013922409098409375,3.0
120.0,344.0,0.014350727072499644,2.0
171.0,220.0,0.015411613850689853,2.0
353.0,420.0,0.01567753436822138,4.0
115.0,379.0,0.015908658220017313,2.0
88.0,125.0,0.016007848239853194,2.0
232.0,429.0,0.016943824888375984,5.0
116.0,207.0,0.01712815182032231,2.0
169.0,434.0,0.01748393894135579,3.0
424.0,430.0,0.01762087985472543,4.0
112.0,244.0,0.0179249783197911,2.0
126.0,448.0,0.01802036457235706,5.0
360.0,405.0,0.019059168581098337,3.0
103.0,327.0,0.02038140755682763,2.0
426.0,433.0,0.020428659849200444,6.0
97.0,320.0,0.021379356393391235,2.0
82.0,352.0,0.021384507409398647,2.0
128.0,210.0,0.022623448230228417,2.0
270.0,413.0,0.02447967634583872,3.0
