c1,c2,dist,count
55.0,272.0,0.00884491418461782,2.0
331.0,346.0,0.008871196290834969,2.0
175.0,621.0,0.008947300917094584,3.0
89.0,377.0,0.009125624531185306,2.0
68.0,684.0,0.009280979390482376,3.0
509.0,703.0,0.009548048685082699,3.0
237.0,238.0,0.010190903131794972,2.0
328.0,704.0,0.010208534888480808,4.0
668.0,697.0,0.010605886092492958,5.0
501.0,707.0,0.010668994007541068,3.0
245.0,247.0,0.010672135909429602,2.0
314.0,337.0,0.010873330509314976,2.0
334.0,694.0,0.011214497059078279,4.0
223.0,673.0,0.012049107900842897,3.0
48.0,253.0,0.012118891842609086,2.0
508.0,706.0,0.012995753228152385,4.0
678.0,698.0,0.01334088537277299,5.0
275.0,279.0,0.013538658729924736,2.0
686.0,708.0,0.01378806329793834,7.0
210.0,244.0,0.01382816470704257,2.0
500.0,700.0,0.013848239383433334,3.0
53.0,265.0,0.013905286151406559,2.0
1.0,276.0,0.01540123315000423,2.0
349.0,353.0,0.016228683527431422,2.0
185.0,539.0,0.017322428054262554,4.0
154.0,536.0,0.018324181071270308,2.0
105.0,139.0,0.01845677317635622,2.0
82.0,719.0,0.018462410115513653,3.0
251.0,728.0,0.01923837433943993,3.0
669.0,718.0,0.01960928722089585,4.0
128.0,130.0,0.01998753878544355,2.0
3.0,726.0,0.020216628634083602,6.0
714.0,730.0,0.020580179773585557,6.0
306.0,657.0,0.021216880414980693,3.0
557.0,672.0,0.021859247919728646,7.0
490.0,675.0,0.02187976119253237,3.0
483.0,488.0,0.022412845306876754,2.0
477.0,478.0,0.022495309155337748,2.0
90.0,380.0,0.02367376315792001,2.0
37.0,701.0,0.025145475998594912,3.0
287.0,735.0,0.02532437167781528,3.0
312.0,315.0,0.025457671272588658,2.0
344.0,350.0,0.02548095771502514,2.0
623.0,733.0,0.02565939786429795,6.0
277.0,687.0,0.02594572746608872,3.0
17.0,712.0,0.02690611537279192,4.0
150.0,532.0,0.02722510188678826,2.0
494.0,495.0,0.027295841167044137,2.0
497.0,498.0,0.027413631349974384,2.0
293.0,325.0,0.02746920164263945,2.0
264.0,270.0,0.027745883478509516,2.0
38.0,148.0,0.02807249545875837,2.0
226.0,731.0,0.02823343097403683,4.0
166.0,324.0,0.028265565738414253,2.0
716.0,717.0,0.02857426936306576,11.0
129.0,526.0,0.02962182577062993,2.0
87.0,374.0,0.031073666952613325,2.0
519.0,723.0,0.03372447815261434,4.0
19.0,192.0,0.03580741794164242,2.0
715.0,736.0,0.03604167065829934,10.0
722.0,734.0,0.036492230939581614,8.0
691.0,747.0,0.037722612379504174,7.0
725.0,729.0,0.037911717810557875,6.0
71.0,757.0,0.038589810924347746,4.0
489.0,754.0,0.03908904114736366,3.0
530.0,699.0,0.041620022947630494,3.0
670.0,752.0,0.04205269708923191,13.0
550.0,737.0,0.042106823785496704,7.0
485.0,487.0,0.04324822845637152,2.0
409.0,442.0,0.04343064636059987,2.0
282.0,685.0,0.044256779280753764,3.0
702.0,741.0,0.04587791199465419,5.0
8.0,749.0,0.04651796971726468,7.0
46.0,248.0,0.04688388296944119,2.0
545.0,763.0,0.04774666796229338,11.0
239.0,705.0,0.04893808667341986,3.0
504.0,727.0,0.04941327475345783,4.0
690.0,709.0,0.05044018610812959,5.0
393.0,656.0,0.0506220973853022,13.0
499.0,766.0,0.0522220028336742,3.0
739.0,768.0,0.057334106156773534,4.0
163.0,332.0,0.059376688922322556,2.0
558.0,740.0,0.060683987090824024,4.0
241.0,625.0,0.06076176577823648,4.0
141.0,664.0,0.06404865210630663,3.0
93.0,246.0,0.06445655304318283,2.0
373.0,385.0,0.06546433488740365,2.0
158.0,318.0,0.06654288442858894,2.0
187.0,720.0,0.0665881339443608,4.0
745.0,778.0,0.06760999569217165,11.0
696.0,780.0,0.06940377328424577,10.0
645.0,760.0,0.06973888352329284,13.0
721.0,756.0,0.0709875893778826,4.0
65.0,430.0,0.07204720599529192,2.0
470.0,472.0,0.07305069485053658,2.0
191.0,193.0,0.07337806184389074,2.0
304.0,329.0,0.07552612031008592,2.0
635.0,713.0,0.075606027443041,8.0
119.0,120.0,0.07960877041538468,2.0
473.0,476.0,0.08048200106005046,2.0
761.0,775.0,0.08271796708650492,10.0
296.0,303.0,0.08358048890877254,2.0
742.0,792.0,0.08935205407130334,15.0
310.0,759.0,0.08942294972706692,3.0
658.0,787.0,0.09054055793599511,4.0
772.0,794.0,0.09076497929671026,15.0
482.0,781.0,0.09176967089213271,5.0
770.0,784.0,0.09325647731230732,17.0
479.0,711.0,0.09595162025216006,3.0
27.0,189.0,0.09678273742445173,2.0
227.0,724.0,0.09821696247985257,3.0
260.0,620.0,0.09894725228362922,4.0
34.0,475.0,0.10278315839967357,2.0
758.0,779.0,0.10909396843550025,10.0
229.0,793.0,0.10937591063518956,4.0
528.0,783.0,0.11074246828928117,4.0
66.0,269.0,0.11103044189464141,2.0
395.0,796.0,0.11171656779391959,14.0
492.0,493.0,0.11494950317869126,2.0
300.0,811.0,0.1163318376291585,3.0
753.0,782.0,0.1180736288968452,6.0
167.0,771.0,0.12311459964854542,3.0
357.0,809.0,0.12705676720627163,14.0
371.0,372.0,0.12710739032868493,2.0
180.0,829.0,0.12814276729471724,5.0
115.0,491.0,0.12931282569074548,2.0
693.0,773.0,0.1351041573820878,4.0
432.0,795.0,0.13771696975960643,6.0
208.0,790.0,0.14315044052268147,8.0
431.0,822.0,0.1436665928610127,5.0
486.0,786.0,0.15529100042132835,3.0
769.0,824.0,0.15656752846463426,7.0
496.0,797.0,0.15693589621304968,4.0
738.0,818.0,0.15722345083187297,13.0
103.0,815.0,0.1579547967266059,9.0
767.0,808.0,0.1607183821512046,12.0
743.0,806.0,0.1619064801970891,6.0
659.0,660.0,0.16716714690949935,4.0
788.0,798.0,0.17050704267159966,7.0
777.0,807.0,0.17315751230288162,21.0
88.0,774.0,0.17373892145507783,3.0
256.0,732.0,0.1762486526169069,3.0
96.0,847.0,0.17682922569355367,6.0
104.0,755.0,0.17702450239643516,3.0
800.0,825.0,0.17855183601341462,21.0
746.0,791.0,0.19614311866893075,5.0
805.0,821.0,0.19954793091633058,5.0
748.0,833.0,0.2002655363885996,6.0
257.0,261.0,0.20082965826132362,2.0
202.0,203.0,0.20233029539655284,2.0
288.0,819.0,0.20304806853391755,3.0
469.0,812.0,0.2130175110569281,3.0
382.0,810.0,0.21419109445823611,5.0
789.0,840.0,0.2148028794175927,19.0
207.0,231.0,0.21671427748976965,2.0
98.0,666.0,0.2205902031603538,3.0
474.0,817.0,0.23474716234992418,3.0
0.0,172.0,0.23537471170601787,2.0
403.0,852.0,0.23803765134335847,10.0
751.0,799.0,0.24067130989693236,5.0
114.0,838.0,0.24097113791448418,7.0
28.0,832.0,0.244824667656212,5.0
283.0,856.0,0.2527290715862137,8.0
320.0,868.0,0.2557631770735517,4.0
750.0,853.0,0.2710055478965108,18.0
785.0,820.0,0.2773133596345913,22.0
26.0,827.0,0.289733175450187,3.0
823.0,851.0,0.2904452130767221,28.0
75.0,857.0,0.30750820992324346,22.0
134.0,386.0,0.31599932673731984,2.0
533.0,764.0,0.32605749715565574,3.0
125.0,197.0,0.33463669309958866,2.0
404.0,876.0,0.34805729022575876,11.0
828.0,879.0,0.3719836970336835,8.0
376.0,858.0,0.3835055110360023,4.0
839.0,881.0,0.3902468976470814,7.0
803.0,870.0,0.3910485894426125,7.0
744.0,802.0,0.40126808944413156,5.0
7.0,15.0,0.4117616689818308,2.0
212.0,862.0,0.41373266760721716,22.0
814.0,877.0,0.4220714807675832,7.0
804.0,835.0,0.4227681298290687,16.0
159.0,864.0,0.4244796889618106,6.0
31.0,869.0,0.438626321854827,4.0
765.0,850.0,0.443511238175288,6.0
826.0,861.0,0.45039190185771133,6.0
64.0,845.0,0.45494062163145327,7.0
523.0,524.0,0.45566283738300184,2.0
250.0,258.0,0.4613623412846116,2.0
249.0,872.0,0.5014568170311967,3.0
457.0,882.0,0.5040932249627862,19.0
846.0,883.0,0.5041516365158779,30.0
830.0,874.0,0.5099495417509465,5.0
321.0,893.0,0.534790918178406,8.0
834.0,867.0,0.5639102877319241,4.0
390.0,899.0,0.5715913799733483,17.0
133.0,887.0,0.5796420111214966,3.0
406.0,871.0,0.5813996485440457,20.0
848.0,878.0,0.5873022617624328,10.0
844.0,865.0,0.5963386080417818,10.0
849.0,854.0,0.5987303769664807,13.0
405.0,890.0,0.6050484174893517,12.0
291.0,339.0,0.6245741104074559,2.0
140.0,875.0,0.6694408517030619,3.0
131.0,855.0,0.6734897826475642,5.0
831.0,880.0,0.6845539173579237,18.0
13.0,909.0,0.6859912085848859,31.0
762.0,842.0,0.7300019549271409,8.0
836.0,843.0,0.7649149851892235,4.0
776.0,813.0,0.768178365527892,4.0
84.0,921.0,0.7682465702753989,4.0
347.0,885.0,0.7773399581324825,29.0
285.0,912.0,0.7872197312624014,5.0
361.0,918.0,0.8010715023989031,14.0
801.0,891.0,0.8144505283323753,12.0
886.0,908.0,0.8446475212952155,41.0
816.0,902.0,0.8501905347712402,8.0
63.0,662.0,0.8533249509339653,4.0
29.0,901.0,0.8676668808833499,5.0
254.0,906.0,0.9154871972524244,3.0
52.0,923.0,0.9254909710545653,19.0
308.0,316.0,0.9479876739353241,2.0
243.0,932.0,0.9843041168553011,13.0
863.0,866.0,1.0004770175471096,7.0
126.0,925.0,1.0085739556379159,9.0
156.0,294.0,1.0164038319774062,2.0
58.0,938.0,1.0779954922314638,20.0
176.0,915.0,1.0834476257022145,21.0
35.0,896.0,1.1210991016363259,3.0
307.0,910.0,1.123016805318661,6.0
913.0,919.0,1.1312931602390555,29.0
911.0,939.0,1.1421964230819128,10.0
21.0,190.0,1.1932888046449115,2.0
45.0,663.0,1.1940883748219142,3.0
111.0,922.0,1.2222299782799675,6.0
534.0,837.0,1.2751189500518303,4.0
92.0,147.0,1.2866466545405009,2.0
897.0,924.0,1.3392898491097034,53.0
271.0,298.0,1.3533990313066528,2.0
937.0,941.0,1.3741862472338666,10.0
149.0,174.0,1.3757846833218748,2.0
162.0,956.0,1.4052508308125593,3.0
9.0,618.0,1.406059770485397,3.0
116.0,263.0,1.416361605020363,2.0
36.0,904.0,1.4198285643458268,8.0
895.0,952.0,1.46772054363159,11.0
889.0,955.0,1.4928908645675278,55.0
259.0,262.0,1.5237030981863124,2.0
153.0,170.0,1.5318419357555733,2.0
30.0,936.0,1.534178570705455,6.0
280.0,934.0,1.5401150094244216,9.0
301.0,903.0,1.5982383477170956,7.0
77.0,841.0,1.6864976212510707,3.0
898.0,900.0,1.7269570744681597,13.0
24.0,665.0,1.7361752351480575,3.0
47.0,859.0,1.738144802641587,4.0
54.0,91.0,1.7463521606499885,2.0
