antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Black & Blue'}),frozenset({'Cabra LaMancha'}),0.06076923076923077,0.06153846153846154,0.023846153846153847,0.3924050632911392,6.3765822784810124,1.0,0.020106508875739646,1.544551282051282,0.89773057514993,0.2421875,0.35256277235941064,0.38995253164556964
frozenset({'Cabra LaMancha'}),frozenset({'Black & Blue'}),0.06153846153846154,0.06076923076923077,0.023846153846153847,0.3875,6.3765822784810124,1.0,0.020106508875739646,1.5334379905808475,0.8984664198836595,0.2421875,0.34787059787059793,0.38995253164556964
frozenset({'Cave Dweller'}),frozenset({'Black & Blue'}),0.03538461538461538,0.06076923076923077,0.014615384615384615,0.41304347826086957,6.796917996697854,1.0,0.01246508875739645,1.6001709401709403,0.8841601611684714,0.17924528301886794,0.37506676637111425,0.3267749036873968
frozenset({'Black & Blue - 1/2-lb'}),frozenset({'Cabra LaMancha - 1/2-lb'}),0.04230769230769231,0.05076923076923077,0.015384615384615385,0.36363636363636365,7.162534435261708,1.0,0.013236686390532545,1.4916483516483516,0.8983935742971887,0.198019801980198,0.32960070723441875,0.33333333333333337
frozenset({'Cave Dweller - 1/2-lb wedge'}),frozenset({'Black & Blue - 1/2-lb'}),0.031538461538461536,0.04230769230769231,0.014615384615384615,0.4634146341463415,10.953436807095343,1.0,0.013281065088757395,1.7847902097902097,0.9382968939425609,0.24675324675324678,0.4397100597511999,0.40443458980044344
frozenset({'Black & Blue - 1/2-lb'}),frozenset({'Merry Goat Round'}),0.04230769230769231,0.15153846153846154,0.01769230769230769,0.41818181818181815,2.7595754499307796,1.0,0.011281065088757395,1.4582932692307693,0.6657936092194866,0.10043668122270744,0.31426687546361154,0.26746654360867556
frozenset({'Cave Dweller'}),frozenset({'Bloomy Breeze'}),0.03538461538461538,0.07384615384615385,0.015384615384615385,0.4347826086956522,5.88768115942029,1.0,0.012771597633136095,1.6385798816568047,0.8606060606060605,0.16393442622950818,0.389715441282681,0.3215579710144928
frozenset({'Bloomy Breeze'}),frozenset({'Merry Goat Round'}),0.07384615384615385,0.15153846153846154,0.04230769230769231,0.5729166666666666,3.7806683587140437,1.0,0.031117159763313612,1.9866416510318947,0.7941407429779523,0.23109243697478993,0.49663795708673314,0.4260522419627749
frozenset({'Bloomy Breeze'}),frozenset({'Mountain Top'}),0.07384615384615385,0.08923076923076922,0.02923076923076923,0.3958333333333333,4.436063218390805,1.0,0.022641420118343195,1.5074801061007956,0.8363350236055256,0.21839080459770116,0.3366413288288288,0.36170977011494254
frozenset({'White Rock'}),frozenset({'Bloomy Breeze'}),0.031538461538461536,0.07384615384615385,0.016153846153846154,0.5121951219512195,6.935975609756097,1.0,0.013824852071005917,1.8986153846153846,0.8836945421536365,0.1810344827586207,0.47330038084434006,0.36547256097560976
frozenset({'Cave Dweller'}),frozenset({'Cabra LaMancha'}),0.03538461538461538,0.06153846153846154,0.014615384615384615,0.41304347826086957,6.71195652173913,1.0,0.012437869822485207,1.598860398860399,0.8822294971879459,0.17757009345794392,0.3745545260156807,0.3252717391304348
frozenset({'Cabra LaMancha'}),frozenset({'Merry Goat Round'}),0.06153846153846154,0.15153846153846154,0.026153846153846153,0.42499999999999993,2.8045685279187813,1.0,0.016828402366863903,1.4755852842809363,0.6856316297010607,0.13991769547325103,0.3223028105167724,0.29879441624365477
frozenset({'White Rock'}),frozenset({'Cabra LaMancha'}),0.031538461538461536,0.06153846153846154,0.012307692307692308,0.3902439024390244,6.341463414634147,1.0,0.010366863905325444,1.539076923076923,0.8697378872120731,0.15238095238095237,0.35025989604158336,0.2951219512195122
"frozenset({""Carpenter's Wheel - 1/2-lb wedge""})",frozenset({'Cabra LaMancha - 1/2-lb'}),0.031538461538461536,0.05076923076923077,0.014615384615384615,0.4634146341463415,9.127864005912787,1.0,0.013014201183431953,1.7690209790209788,0.9194431670916768,0.2159090909090909,0.43471557892240187,0.3756467110125647
frozenset({'Cave Dweller - 1/2-lb wedge'}),frozenset({'Cabra LaMancha - 1/2-lb'}),0.031538461538461536,0.05076923076923077,0.013076923076923076,0.41463414634146345,8.167036215816704,1.0,0.011475739644970414,1.6216025641025642,0.9061346540204644,0.18888888888888886,0.3833260860971657,0.3361049519586105
frozenset({'Cabra LaMancha - 1/2-lb'}),frozenset({'Merry Goat Round'}),0.05076923076923077,0.15153846153846154,0.026923076923076925,0.5303030303030304,3.499461621289033,1.0,0.01922958579881657,1.8064019851116628,0.7524426950683029,0.1535087719298246,0.44641336300447826,0.35398400246115985
"frozenset({""Carpenter's Wheel - 1/2-lb wedge""})",frozenset({'Merry Goat Round'}),0.031538461538461536,0.15153846153846154,0.013076923076923076,0.41463414634146345,2.7361644174817386,1.0,0.008297633136094674,1.4494551282051282,0.6551885249731346,0.07692307692307691,0.3100855759237557,0.25046428129255915
frozenset({'Cave Dweller'}),frozenset({'Merry Goat Round'}),0.03538461538461538,0.15153846153846154,0.016923076923076923,0.4782608695652174,3.156036195100419,1.0,0.01156094674556213,1.626217948717949,0.7082064665796723,0.0995475113122172,0.3850762741929126,0.29496799823438535
