customer_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
10,0.011916412869663856,0.011904762540659286,0.01190476484674296,0.9404645323572965,0.011904762422860808,0.01190476496277656
104,0.018522129283102765,0.9073532747760026,0.018535810580935043,0.01854345684963485,0.018526666069260813,0.01851866244106406
106,0.027794578884042374,0.47805609323907317,0.027827253384488736,0.02788796460682318,0.41065592772269505,0.027778182162877488
107,0.02777795082851363,0.6571865577646021,0.027777890093667094,0.027779362016326137,0.23170034727153488,0.02777789202535612
108,0.033333355292039984,0.03333333589978612,0.03333334488639301,0.033333348349156536,0.03333333549924248,0.833333280073382
113,0.01667021369274379,0.01666667477758197,0.9166574792645993,0.016666676512697876,0.016666945646512124,0.016672010105865068
114,0.023809546965946716,0.023809529420467802,0.023809536718956126,0.023809534003211213,0.02380955150232133,0.8809523013890969
117,0.023858828530729133,0.5592810187692663,0.17102548448010846,0.023815431790253225,0.1982026922790728,0.023816544150570034
119,0.01190483926582076,0.012124064092264856,0.011904810886510719,0.01190499116084458,0.9402564875133871,0.01190480708117191
123,0.033333480122410226,0.6223709324274141,0.03333345875475371,0.03333414242623102,0.2442820295939535,0.03334595667523741
126,0.020833400346747872,0.8958090967482982,0.020838650694899704,0.020840018326485795,0.020845460416321286,0.020833373467247045
129,0.0011037651965779913,0.0011140975763540965,0.0011311997373747303,0.0011107504637264294,0.9944350972085055,0.0011050898174610687
13,0.015151627886047845,0.015151524590592023,0.01515155348129874,0.015151543894521589,0.9242421927909046,0.015151557356635282
130,0.9509803845687467,0.009803922017117864,0.009803923643459111,0.009803924054157996,0.009803921942994807,0.009803923773523654
136,0.03333340046802649,0.03346192058552438,0.033333383051994514,0.033333927270463914,0.8332039989507105,0.03333336967328012
137,0.01667671981702831,0.4582163930778044,0.12661079612756296,0.016703483182598088,0.36511346439149983,0.016679143403506437
138,0.01851852740527431,0.018521146233775456,0.01851853032890118,0.01851863527440438,0.9074046353124652,0.01851852544517949
14,0.011904849799245686,0.01190476926399486,0.011904791788816838,0.011904784314422712,0.9404760100232702,0.011904794810249779
140,0.012820566661741098,0.13831930302933682,0.012828691384819632,0.012821143050459508,0.2718656967242748,0.5513445991493682
143,0.006172881729757773,0.5475709679558188,0.006174497593325451,0.1804625665293505,0.2534449492851472,0.006174136906600202
15,0.02780535180125761,0.027777779324164822,0.02777778493214221,0.8610835196904202,0.027777779037700293,0.027777785214314902
1548,0.0208334052924891,0.8958100251734319,0.020836890341307396,0.020837812690065162,0.02084849035435034,0.020833376148356033
1576,0.033333355292039984,0.03333333589978612,0.03333334488639301,0.033333348349156536,0.03333333549924248,0.833333280073382
1613,0.020833426025126726,0.02083649191294633,0.02158528194957094,0.02083338350561106,0.020835299907490116,0.8950761166992548
1621,0.010419368897824488,0.27842375218040477,0.010421356404976774,0.01041764181417592,0.6799011850039374,0.010416695698680731
1623,0.027793728985814493,0.02793995393945937,0.02778010709485151,0.027783823854606562,0.860924534703912,0.027777851421356123
1626,0.009260122588362158,0.3907671040952097,0.009263334057284151,0.009259835396280737,0.5721889508592763,0.009260653003586711
1632,0.0061728802170908145,0.9320296476273143,0.00617300823523734,0.04326586090454029,0.00618524787338059,0.006173355142436616
1636,0.02083335349658677,0.02083333820749414,0.020833344558744388,0.020833342194007707,0.02083335746097322,0.8958332640821938
17,0.14928975858315932,0.010416668804623629,0.38231736669526717,0.43714286048679457,0.010416668493498656,0.010416676936656571
1757,0.010492697046191572,0.26938595948197275,0.01066553203574466,0.010541433177816863,0.07495137830437346,0.6239629999539007
1759,0.04166678559709617,0.04192850518615448,0.041666746491630026,0.04167058911303356,0.7914006176995552,0.04166675591253059
1779,0.020833417801413952,0.6279838359202612,0.02083340778533661,0.020833842061536764,0.2886775728841613,0.02083792354729019
1788,0.011111180888717214,0.8859658337833585,0.011113609019270563,0.01111216132383472,0.0695860586790696,0.011111156305749556
1796,0.015159384879990289,0.5527508947350964,0.19670909141133228,0.015274892395400138,0.20494868223589013,0.015157054342290869
1797,0.0015238892645608156,0.7752834896785663,0.0015327797868677157,0.001516060820975125,0.2186260942698673,0.001517686179162825
1807,0.02084190070541839,0.591926793432389,0.020839796958854635,0.020836084526584656,0.32471718649126163,0.020838237885491755
1810,0.027803502754161612,0.6606786692127453,0.02778155340488732,0.027784505386237834,0.2281738532686499,0.02777791597331808
1811,0.0185185303131138,0.018518519886891963,0.018518524699567985,0.018518526562775948,0.018518519673153364,0.9074073788644968
1814,0.02380953912388877,0.02380952559281343,0.02380953185094586,0.023809534268062767,0.02380952531438127,0.8809523438499078
1817,0.01851873397151756,0.7962145189854553,0.018540972930195555,0.018644571040639855,0.01856020955716731,0.1295209935150246
1818,0.008334837209426202,0.8434593225728773,0.008339388437239728,0.008343124202060235,0.12318944080642201,0.008333886771974606
1831,0.02084276992987289,0.6182750296622543,0.020839728542133812,0.02083585252188437,0.29837322146994255,0.0208333978739121
1832,0.023821874193561982,0.33694205154347073,0.023822638978151983,0.023813481913778675,0.5677902544511304,0.023809698919906207
1849,0.033333355292039984,0.03333333589978612,0.03333334488639301,0.033333348349156536,0.03333333549924248,0.833333280073382
187,0.033333465577455014,0.8332486121798482,0.033354011698228325,0.03333411628062981,0.03338740967134206,0.03334238459249638
1870,0.033333355292039984,0.03333333589978612,0.03333334488639301,0.033333348349156536,0.03333333549924248,0.833333280073382
19,0.02780535180125761,0.027777779324164822,0.02777778493214221,0.8610835196904202,0.027777779037700293,0.027777785214314902
1974,0.033333355292039984,0.03333333589978612,0.03333334488639301,0.033333348349156536,0.03333333549924248,0.833333280073382
1979,0.041666800396840134,0.04254201842123217,0.041666885024423506,0.04166932143430084,0.7907882059950485,0.04166676872815486
1984,0.04168024073138923,0.04181552135357673,0.2916455716594364,0.5415170471413904,0.041672890031983545,0.041668729082223785
2,0.4945890132273857,0.011113786544660489,0.4609627093320576,0.011111125279358853,0.01111200340009645,0.01111136221644104
20,0.009268327682456352,0.009259260465909988,0.009259264741855053,0.7314970396228905,0.009259260263251034,0.23145684722363727
2010,0.0185185303131138,0.018518519886891963,0.018518524699567985,0.018518526562775948,0.018518519673153364,0.9074073788644968
21,0.4823627496420232,0.010033651918830823,0.35753860149140276,0.13026734935013784,0.009993661275052535,0.009803986322553094
2100,0.033333355292039984,0.03333333589978612,0.03333334488639301,0.033333348349156536,0.03333333549924248,0.833333280073382
22,0.027785755179649686,0.027777780692809652,0.861103103711175,0.02777778837486563,0.027777780355076557,0.027777791686423466
2232,0.009259298129707253,0.9535001299824166,0.009260543518488809,0.00939517361561782,0.009325573146354649,0.009259281607414769
2246,0.041666931215540215,0.5421536237498712,0.04166691417852967,0.04299906168354152,0.28984664245302566,0.04166682671949184
2250,0.023809638319668168,0.6600304037081085,0.02380962720564188,0.024071118023142192,0.24446961291264882,0.02380959983079056
2256,0.02780165811676362,0.3600842637143357,0.02786739501895232,0.02795583825775658,0.02778008613065648,0.5285107587615353
24,0.011916412869663856,0.011904762540659286,0.01190476484674296,0.9404645323572965,0.011904762422860808,0.01190476496277656
2544,0.03333351936440976,0.305381623793688,0.033333496006938475,0.0333358004892536,0.5612820998175286,0.03333346052818147
26,0.013892992900026907,0.013888890294025858,0.9305514370844087,0.013888893997017988,0.013888890131227896,0.013888895593292745
27,0.009280769206460843,0.17679371308318312,0.009261128106266107,0.7513167600280675,0.044084938345748954,0.009262691230273607
2760,0.25330141335102696,0.40408720383609353,0.02083624902999074,0.020838277024386564,0.28002813841362834,0.020908718344874015
2896,0.012820585379928764,0.8154451909794002,0.01282270063257208,0.012821841445550049,0.13326912222171683,0.012820559340832092
29,0.03333359419299941,0.03333335517480085,0.03333342202618007,0.03333339984295651,0.8333327977695932,0.03333343099346987
3,0.007983959391673342,0.41619985164444695,0.12932542009053838,0.007938469417473844,0.2033388048815631,0.23521349457430435
30,0.012833026654154924,0.012820513506795153,0.012820515995600008,0.9358849143429595,0.012820513379662982,0.012820516120827461
32,0.033343000044356384,0.033333336890782245,0.8333236300132477,0.03333334626581618,0.033333336478619253,0.03333335030717807
33,0.018536572797763176,0.018518519523759023,0.018518523169266693,0.9073893418189752,0.01851851933754061,0.018518523352695156
34,0.0238163418121255,0.023809526280266786,0.8809455375238121,0.023809532791477017,0.023809525994008623,0.023809535598310096
3402,0.012820532728398256,0.012856238701936902,0.01282052979718824,0.9358600046496935,0.01282217195483496,0.012820522167948224
3404,0.023809633463968045,0.6658351135698708,0.023819033567781374,0.02407295730800103,0.23865367256503917,0.023809589525339594
3410,0.027791929702417003,0.3524634634697254,0.1939230876043094,0.028634458267486666,0.369385644044735,0.027801416911326503
3411,0.008334082752449288,0.42293796760776214,0.008333503500167589,0.008333774956149786,0.5437273068352115,0.008333364348259674
3412,0.005209031617853937,0.3910386565129674,0.0052110148060526785,0.38646935535780236,0.20686357710506825,0.0052083646002552865
3413,0.033349038639061045,0.3356081976394812,0.033379299829940076,0.5309858718405117,0.03334382548794884,0.03333376656305711
3417,0.009259345657496861,0.5103495851829168,0.05505528351373583,0.33687338871370975,0.07920308998653758,0.00925930694560302
3418,0.013888927865722876,0.013890703016502361,0.9305527927614851,0.013889689039301926,0.013888975872182624,0.013888911444805188
3420,0.03333373422978375,0.25846395175515763,0.033333895285394245,0.410369452547612,0.2311654007134488,0.03333356546860361
3427,0.02084020116913826,0.7706853842836472,0.14577679055625253,0.020834349828478173,0.021025215242815795,0.020838058919668088
3428,0.04166708128491703,0.5714025282591064,0.04166701322888863,0.04286181337829882,0.041738272412173996,0.26066329143661515
3431,0.027777912954227102,0.700402938561371,0.027790416935462803,0.027784241961312104,0.18846662432125225,0.02777786526637457
3437,0.04166701878244866,0.7916638206975847,0.04166724431927733,0.04166807855705825,0.04166695342379421,0.04166688421983684
35,0.027785755179649686,0.027777780692809652,0.861103103711175,0.02777778837486563,0.027777780355076557,0.027777791686423466
4,0.6019521432572708,0.004765575555061536,0.00479550857491783,0.3789628962895012,0.004761953566540607,0.0047619227567081025
40,0.0052083808776348635,0.6090567495331075,0.005227778584256384,0.005232827779973581,0.2444922148036508,0.13078204842137675
41,0.006945275486435036,0.006988322209938411,0.006947911792294467,0.006944845094231222,0.6735688730804074,0.29860477233669347
42,0.8333331903763905,0.033333342258682154,0.033333359214774795,0.03333335391973572,0.03333333790921653,0.03333341632120029
43,0.013892992900026907,0.013888890294025858,0.9305514370844087,0.013888893997017988,0.013888890131227896,0.013888895593292745
44,0.03333338723299558,0.03333334016742024,0.033333362726794644,0.03333335697126022,0.03333334060545841,0.8333332122960709
47,0.023809704978132038,0.023809538978536306,0.023809585407160144,0.023809570000797604,0.8809520090003843,0.023809591634989608
48,0.42869523153540773,0.01666669301379045,0.10281164136167861,0.016666697780962175,0.016666673282774852,0.41849306302538625
489,0.03335259471347208,0.4676964071372515,0.03335433277894146,0.03333826996242231,0.3989073562539176,0.03335103915399487
49,0.027777831746152643,0.02777778953340522,0.02778294360309325,0.0277778019255321,0.027777785350830544,0.8611058478409862
492,0.02083335349658677,0.02083333820749414,0.020833344558744388,0.020833342194007707,0.02083335746097322,0.8958332640821938
4985,0.05558490648468187,0.055672876481761883,0.05555982632970451,0.05556219389049543,0.7220645685890213,0.055555628224335
50,0.020839330312635147,0.02148431571551233,0.26872040176881756,0.020833697954373842,0.020840667432358746,0.6472815868163023
51,0.02780535180125761,0.027777779324164822,0.02777778493214221,0.8610835196904202,0.027777779037700293,0.027777785214314902
53,0.020853709721071735,0.020833334471033565,0.020833338596906857,0.8958129441462049,0.0208333342602773,0.020833338804505542
55,0.03333338723299558,0.03333334016742024,0.033333362726794644,0.03333335697126022,0.03333334060545841,0.8333332122960709
57,0.011111147444790012,0.9443103249889937,0.011118980024963787,0.011226797098553934,0.011121621082898806,0.011111129359799687
