,930,934,937,940,943,947,950,953,1903,2078,2772,2800,2802,2884,2983,3351,3470,3868,3871,3979,3985,3990,3992,4116,4321,4475,4555,4602,4634,4647,4677,5343,5347,5350,5388,7272,8041,8383,8385,8862,9201,9518,9520,9523,11909,12544,12547,12550,12554,12644,12713,13261,13474,13476,13478,13506
930,145.0,27.0,51.0,28.0,70.0,36.0,38.0,25.0,26.0,27.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,3.0,0.0,24.0,1.0,0.0,11.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
934,27.0,54.0,25.0,16.0,22.0,12.0,20.0,9.0,7.0,11.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
937,51.0,25.0,132.0,27.0,50.0,38.0,46.0,27.0,24.0,24.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,4.0,3.0,2.0,4.0,1.0,3.0,0.0,1.0,1.0,6.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
940,28.0,16.0,27.0,95.0,57.0,29.0,39.0,27.0,13.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,21.0,1.0,0.0,8.0,8.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
943,70.0,22.0,50.0,57.0,196.0,42.0,60.0,39.0,38.0,28.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,23.0,2.0,0.0,7.0,5.0,6.0,5.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
947,36.0,12.0,38.0,29.0,42.0,85.0,31.0,19.0,16.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,2.0,5.0,3.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
950,38.0,20.0,46.0,39.0,60.0,31.0,116.0,25.0,33.0,24.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,0.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
953,25.0,9.0,27.0,27.0,39.0,19.0,25.0,81.0,15.0,13.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1903,26.0,7.0,24.0,13.0,38.0,16.0,33.0,15.0,86.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2078,27.0,11.0,24.0,23.0,28.0,21.0,24.0,13.0,14.0,64.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2772,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,43.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
