Billing ZIP,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
20678,1,171.45,171.45,1,1,2,2,0,0
36526,1,117.38,117.38,1,1,3,3,0,0
26501-6449,1,834.29,834.29,8,8,9,9,1,100
15217-1055,1,88.86,88.86,1,1,1,1,0,0
85251,1,212.86,212.86,2,2,9,9,1,100
21550-1517,1,71.64,71.64,1,1,1,1,0,0
11101,1,132.64,132.64,1,1,2,2,0,0
06032,1,52.99,52.99,1,1,1,1,0,0
21076,1,97.13,97.13,1,1,1,1,0,0
21206,1,297,297,4,4,4,4,1,100
30736,1,79.99,79.99,1,1,1,1,0,0
44001,1,159.58,159.58,2,2,2,2,1,100
19709,1,695,695,10,10,10,10,1,100
15212,1,88.86,88.86,1,1,3,3,0,0
77586,1,205.05,205.05,2,2,17,17,1,100
21210-2304,1,96.08,96.08,1,1,1,1,0,0
55105-2650,1,262.34,262.34,2,2,3,3,1,100
26537,1,78.18,78.18,1,1,1,1,0,0
55330,1,154.99,154.99,1,1,11,11,0,0
97136,1,60.19,60.19,1,1,2,2,0,0
23518,1,594,594,7,7,7,7,1,100
77077,1,191.42,191.42,2,2,12,12,1,100
20017,1,129.14,129.14,1,1,5,5,0,0
