First user primary channel group (Default Channel Group),Average 120d value
Email,2.763241206030151
Unassigned,2.223402973081559
Organic Search,0.9462782044717528
Direct,0.4743881987577639
Paid Other,0.2177227722772277
Organic Social,0.1631202531645569
Referral,0.1561175207942044
